dropout,learning_rate,pooler,val_accuracy
0.3,5e-05,False,0.7047619223594666
0.2,3e-05,False,0.6714285612106323
0.3,4e-05,False,0.6571428775787354
0.2,2e-05,True,0.6523809432983398
0.2,1e-05,False,0.6380952596664429
0.3,3e-05,False,0.6285714507102966
0.4,2e-05,False,0.6285714507102966
0.5,3e-05,False,0.6285714507102966
0.5,5e-05,True,0.6238095164299011
0.2,3e-05,True,0.6190476417541504
0.2,5e-05,False,0.6190476417541504
0.4,5e-05,False,0.6190476417541504
0.4,3e-05,False,0.6142857074737549
0.4,4e-05,False,0.6142857074737549
0.2,1e-05,True,0.6095238327980042
0.5,5e-05,False,0.6095238327980042
0.2,5e-05,True,0.6047618985176086
0.3,2e-05,True,0.6047618985176086
0.3,5e-05,True,0.6047618985176086
0.5,1e-05,False,0.6047618985176086
0.3,3e-05,True,0.6000000238418579
0.5,2e-05,False,0.6000000238418579
0.2,2e-05,False,0.5952380895614624
0.2,4e-05,False,0.5952380895614624
0.3,4e-05,True,0.5952380895614624
0.4,1e-05,True,0.5952380895614624
0.3,1e-05,True,0.5904762148857117
0.5,3e-05,True,0.5904762148857117
0.3,1e-05,False,0.5857142806053162
0.3,2e-05,False,0.5857142806053162
0.4,5e-05,True,0.5857142806053162
0.2,4e-05,True,0.5714285969734192
0.4,1e-05,False,0.561904788017273
0.4,3e-05,True,0.5571428537368774
0.5,2e-05,True,0.5571428537368774
0.5,1e-05,True,0.5523809790611267
0.5,4e-05,False,0.5476190447807312
0.4,2e-05,True,0.5428571701049805
0.4,4e-05,True,0.4952380955219269
0.5,4e-05,True,0.4571428596973419
